date;Amazon Shopping;Calculator;Calendar;Chrome;Clock;com.activision.callofduty.shooter;Discord;Drive;Gmail;Google;Google News;Google Play Store;HBO MAX;Instagram;LinkedIn;Maps;Medium;Mi Tigo;Microsoft 365 (Office);Moto App Launcher;Nequi Colombia;Notion;Photomath;Photos;Settings;SimCity;Spotify;Symbolab;Tasks;Teams;Telegram;TikTok;Truecaller;Twitter;tyba;Upwork Talent;WhatsApp;YouTube;YouTube Music;Zoom
2022-10-19;0.0;3.02;1.5;17.48;1.75;0.0;0.0;55.68;1.92;0.0;2.85;0.0;0.0;50.3;0.0;0.0;0.0;0.0;0.0;12.78;0.0;0.0;0.0;0.0;2.25;0.0;10.28;0.0;0.0;0.0;0.0;37.42;0.0;0.0;0.0;0.0;73.1;0.0;0.0;0.0
2022-10-20;0.0;1.57;0.0;5.28;0.9;19.43;0.0;11.72;0.0;0.0;0.05;0.0;0.0;46.17;0.0;1.15;0.0;0.0;0.0;11.62;0.0;0.0;0.0;0.0;3.3;0.0;2.78;0.0;0.0;0.0;0.0;87.1;0.02;0.0;0.0;0.0;61.83;12.98;0.0;0.0
2022-10-21;0.0;0.0;0.0;1.37;0.68;42.78;0.0;1.55;6.32;0.0;0.0;0.08;0.0;40.9;0.0;0.8;0.0;1.18;0.0;7.9;0.0;0.0;0.0;0.67;0.85;0.0;0.0;0.0;0.0;0.0;0.0;71.57;0.35;0.0;0.0;0.0;62.6;0.0;0.0;0.0
2022-10-22;0.0;0.0;0.0;1.98;0.0;34.73;0.0;0.0;1.72;0.13;0.0;2.23;0.0;69.2;0.03;0.0;0.0;0.0;0.0;10.12;0.0;0.0;0.0;52.6;0.15;0.0;0.0;0.0;0.0;0.0;0.0;53.75;0.0;0.0;0.0;0.0;113.32;33.82;0.0;0.0
2022-10-23;0.0;0.52;0.0;5.8;1.43;170.77;0.0;0.0;5.58;0.0;0.0;0.15;0.0;41.65;0.0;0.13;0.0;0.0;0.0;10.7;0.0;0.0;0.0;5.12;0.52;0.0;0.0;0.0;0.0;0.0;0.0;64.5;0.07;0.0;0.0;0.0;50.78;95.12;0.0;0.0
2022-10-24;0.0;6.67;0.0;12.5;0.43;21.8;0.0;0.35;1.18;0.57;0.0;0.0;0.0;63.98;0.0;1.38;0.0;0.0;0.0;18.15;0.0;0.0;0.0;6.77;7.15;0.0;0.53;0.0;0.0;0.0;0.0;30.8;19.53;0.0;0.0;0.0;90.28;3.92;0.0;0.0
2022-10-25;0.0;0.13;0.0;2.68;0.0;55.0;0.0;0.0;0.13;0.45;0.85;0.28;0.0;50.82;0.0;0.0;0.0;0.0;0.0;11.4;0.0;0.0;0.0;0.0;0.15;0.0;0.0;0.0;0.0;0.0;0.0;105.9;0.0;0.0;0.0;0.0;51.95;0.0;0.0;0.0
2022-10-26;0.0;0.27;0.65;14.6;0.93;0.0;0.0;19.2;3.18;0.18;0.0;0.78;0.0;19.0;0.0;0.0;0.0;0.0;0.0;18.67;0.0;0.0;0.0;0.0;1.55;0.0;0.0;2.83;0.18;0.0;0.0;9.45;0.4;0.0;0.0;0.0;110.78;24.15;0.0;0.0
2022-10-27;0.0;3.98;0.23;7.37;1.17;0.0;0.0;0.0;0.82;0.03;0.0;1.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.67;0.0;0.0;0.0;2.8;2.27;0.0;0.83;0.0;0.0;0.0;0.0;0.0;0.68;0.0;0.0;0.0;41.68;21.1;0.0;0.0
2022-10-28;0.0;0.02;0.0;11.5;0.38;0.0;0.0;7.2;0.52;0.08;4.08;1.25;0.0;0.0;0.0;0.53;0.0;0.0;0.0;9.42;0.0;0.0;0.0;5.92;0.62;0.0;6.52;8.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.73;51.68;0.0;0.0
2022-10-29;0.0;8.92;0.0;15.55;0.0;0.0;0.0;0.0;2.33;0.0;0.0;2.33;0.0;0.0;0.0;0.0;0.0;0.35;0.0;13.33;0.0;0.0;0.0;0.43;2.05;0.0;4.17;4.12;0.0;0.0;0.0;0.0;0.9;0.0;0.0;0.0;61.62;83.53;0.0;0.0
2022-10-30;0.0;5.58;0.0;4.85;0.23;0.0;0.0;0.0;0.85;0.02;0.0;3.63;0.0;38.58;0.0;0.0;0.0;0.0;0.0;11.43;0.0;0.0;0.0;1.9;1.32;0.0;6.55;0.0;0.47;0.0;0.0;0.0;0.15;0.0;0.0;0.0;85.9;24.05;0.0;0.0
2022-10-31;0.0;0.0;0.0;5.3;0.33;0.0;0.0;2.38;0.97;0.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.9;0.0;0.0;0.0;6.55;4.58;0.0;8.27;2.62;0.0;0.0;0.0;0.0;2.07;0.0;0.0;0.0;54.32;24.98;0.0;0.0
2022-11-01;0.0;0.0;0.05;12.95;1.27;0.0;0.0;5.97;6.67;0.98;1.42;0.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.8;0.0;0.0;0.0;0.73;0.83;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.47;26.4;0.0;0.0
2022-11-02;0.0;1.28;0.78;30.07;0.83;0.0;0.0;23.08;2.62;0.33;0.05;0.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.87;0.0;0.0;0.0;11.95;0.63;0.0;2.02;26.7;2.4;0.0;0.0;0.0;3.38;0.0;0.0;0.0;92.52;3.02;0.0;0.0
2022-11-03;0.0;0.18;0.0;12.55;0.87;0.0;0.0;0.0;3.43;0.22;0.07;0.0;0.0;0.0;0.15;0.0;0.0;4.73;0.0;16.52;0.0;0.0;0.0;2.42;1.0;0.0;19.47;1.22;0.88;0.0;0.0;0.0;0.72;0.0;0.0;0.0;100.0;38.27;0.0;0.0
2022-11-04;0.0;0.15;0.0;14.22;0.62;0.0;0.0;0.5;0.35;1.53;19.03;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.55;0.0;0.0;0.0;0.0;0.07;0.0;19.37;1.38;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;78.47;26.57;0.0;0.0
2022-11-05;0.0;0.27;0.0;9.28;0.0;0.0;0.0;0.0;1.07;1.07;0.03;2.13;0.0;74.03;0.0;0.0;0.0;0.7;0.0;14.42;0.0;0.0;0.0;0.52;0.0;0.0;12.87;0.0;0.0;0.0;0.0;60.37;0.0;0.0;0.0;0.0;85.27;32.27;0.0;0.0
2022-11-06;0.0;0.02;0.0;5.4;0.0;0.0;0.0;0.0;1.1;0.27;0.22;0.3;0.0;55.45;0.0;1.33;0.0;0.0;0.0;19.07;0.0;0.0;0.0;12.08;0.15;0.0;67.58;0.0;0.0;0.0;0.0;0.0;0.93;0.0;0.0;0.0;93.35;19.07;0.0;0.0
2022-11-07;0.0;0.0;0.0;12.68;0.0;0.0;0.0;0.0;0.0;0.08;0.22;0.05;0.0;70.6;0.0;0.0;0.0;0.0;0.0;9.35;0.0;0.0;0.0;13.13;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;96.38;44.78;0.0;0.0
2022-11-08;0.0;2.87;0.0;15.13;2.3;0.0;0.0;21.92;0.78;0.02;8.72;1.12;0.0;51.53;0.0;0.0;0.0;4.68;0.0;17.07;0.0;0.0;0.0;0.13;0.18;0.0;6.12;0.0;1.9;0.0;0.0;0.0;1.12;0.0;0.0;0.0;142.73;18.12;0.0;0.0
2022-11-09;0.0;0.12;0.0;34.15;1.23;0.0;0.0;6.5;1.43;0.17;0.13;3.52;0.0;57.98;0.0;0.67;0.0;0.98;0.0;17.83;0.0;0.0;0.0;7.8;0.02;0.0;21.33;9.48;0.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.48;10.38;0.0;0.0
2022-11-10;0.0;0.45;0.0;4.87;1.48;0.0;0.0;0.65;0.57;0.25;0.17;0.42;0.0;66.38;0.0;2.25;0.0;0.0;0.0;14.78;0.0;0.0;0.0;8.58;0.6;0.0;12.33;0.78;0.22;0.0;0.0;0.0;0.77;0.0;0.0;0.0;104.18;2.23;0.0;0.0
2022-11-11;0.0;0.0;0.0;13.48;0.12;0.0;0.0;18.13;4.07;0.0;0.07;0.0;0.0;40.8;0.0;0.0;0.0;0.58;0.0;12.28;0.0;0.0;0.0;0.37;0.35;0.0;5.5;0.0;0.12;0.0;0.0;0.0;0.25;0.0;0.0;0.0;113.45;0.38;0.0;0.0
2022-11-12;0.0;0.18;0.0;5.35;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;59.13;0.0;0.0;0.0;1.12;0.0;9.77;0.0;0.0;0.0;2.02;0.02;0.0;10.13;0.0;1.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.62;22.15;0.0;0.0
2022-11-13;0.0;0.58;0.0;15.23;0.2;0.0;0.0;0.0;0.65;0.42;0.13;0.03;0.0;75.82;0.0;0.0;0.0;0.0;0.0;15.08;0.0;0.0;0.0;1.55;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;69.05;1.23;0.0;0.0
2022-11-14;0.0;0.17;0.0;5.27;0.0;0.0;0.0;0.63;0.0;0.73;0.0;0.0;0.0;75.92;0.0;0.0;0.0;0.55;0.0;13.58;0.0;0.0;0.0;0.7;0.37;0.0;28.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.12;0.0;0.0;0.0
2022-11-15;0.0;0.48;0.0;18.62;2.27;0.0;0.0;15.85;5.03;1.05;0.2;0.65;0.0;30.85;0.0;0.0;0.0;0.0;0.0;12.45;0.0;0.0;0.0;3.65;0.45;0.0;25.2;0.0;0.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.98;20.52;0.0;0.0
2022-11-16;3.7;0.0;0.0;20.08;1.12;0.0;0.0;45.97;0.25;0.42;0.13;1.28;0.0;66.12;0.0;0.25;0.0;0.0;0.0;13.52;0.0;0.0;0.0;2.08;1.23;0.0;14.07;3.45;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.48;35.0;0.0;0.0
2022-11-17;6.43;2.07;0.3;11.22;2.2;0.0;0.0;9.65;0.0;0.87;0.27;0.23;0.0;95.98;0.0;8.07;0.0;0.3;0.0;9.15;0.0;0.0;0.0;1.53;0.75;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.92;44.02;0.0;0.0
2022-11-18;0.03;0.0;0.0;14.5;1.48;0.0;0.0;18.8;10.85;1.77;0.35;0.0;0.0;37.22;0.0;0.0;0.0;0.33;0.0;13.17;0.0;0.0;0.0;6.52;0.78;0.0;17.62;0.0;0.8;0.0;0.0;0.0;1.25;0.0;0.0;0.0;25.0;22.77;0.0;0.0
2022-11-19;0.0;1.37;0.0;25.95;0.67;0.0;0.0;5.77;1.85;0.02;0.0;1.88;0.0;92.95;0.0;0.0;0.0;0.57;0.0;11.2;0.0;0.0;0.0;4.3;0.35;0.0;11.4;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.78;10.23;0.0;0.0
2022-11-20;2.02;0.12;0.0;3.97;2.8;0.0;0.0;0.0;0.45;0.3;0.22;0.0;0.0;149.78;0.0;0.0;0.0;0.32;0.0;16.37;0.0;0.0;0.0;8.03;0.05;0.0;23.93;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;21.78;79.68;0.0;0.0
2022-11-21;11.48;0.23;0.0;10.5;1.08;0.0;0.0;0.92;2.93;0.05;0.22;0.38;0.0;60.07;0.0;0.0;0.0;0.0;0.0;17.93;0.0;0.0;0.0;0.18;1.73;0.0;18.67;0.0;0.0;9.45;0.0;0.0;0.6;0.0;0.0;0.0;58.97;16.05;0.0;0.0
2022-11-22;13.0;0.62;0.93;6.95;1.83;0.0;0.0;3.9;0.0;0.48;11.38;2.67;0.0;112.2;0.0;0.0;0.0;1.42;0.0;17.0;0.0;0.0;0.0;1.78;0.07;0.0;0.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.53;51.28;0.0;0.0
2022-11-23;0.0;1.37;0.4;16.65;2.77;0.0;0.0;17.83;0.9;0.2;17.7;0.0;0.0;81.75;0.0;0.0;0.0;1.07;0.0;15.5;0.0;1.47;0.0;0.0;0.03;0.0;18.18;0.0;0.0;0.0;0.0;0.0;0.22;0.0;0.0;0.0;98.1;11.15;0.0;0.0
2022-11-24;6.48;0.45;0.25;15.93;2.33;0.0;0.0;1.43;1.1;0.0;18.65;0.05;0.0;104.65;0.0;0.0;0.0;0.8;0.0;17.85;0.0;0.0;0.0;0.28;0.02;0.0;43.68;0.0;0.75;0.03;0.0;0.0;0.0;0.0;0.0;0.0;91.52;13.33;0.0;0.0
2022-11-25;6.72;0.77;0.0;10.07;0.78;0.0;0.0;0.0;1.68;0.53;0.05;0.08;0.0;33.48;0.0;3.57;0.0;0.33;0.0;13.62;0.0;0.0;0.0;0.0;12.13;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.05;0.37;0.0;0.0
2022-11-26;10.45;0.83;0.0;3.45;0.95;0.0;0.0;0.68;0.58;0.03;13.68;0.0;0.0;79.68;0.0;0.0;0.0;1.13;0.0;13.72;0.0;0.0;0.0;0.0;0.72;0.0;0.0;0.03;0.0;0.0;0.0;0.0;3.87;0.0;0.0;0.0;85.42;1.58;0.0;0.0
2022-11-27;0.0;0.0;0.5;3.15;0.0;0.0;0.0;0.0;0.4;0.08;12.65;0.78;0.0;114.27;0.0;0.0;0.0;2.73;0.0;16.03;0.0;0.0;0.0;0.42;0.0;0.0;49.6;0.0;0.02;0.0;0.0;23.83;8.7;0.0;0.0;0.0;54.72;48.33;0.0;0.0
2022-11-28;0.97;0.55;0.0;5.53;0.0;0.0;0.0;0.0;1.48;0.5;0.55;0.0;0.0;94.1;0.0;0.0;0.0;0.0;0.0;11.57;0.0;0.0;0.0;0.17;0.05;0.0;5.6;0.0;0.83;0.0;0.0;79.78;0.0;0.0;0.0;0.0;40.83;0.07;0.0;0.0
2022-11-29;0.0;0.0;0.4;11.6;0.62;0.0;0.0;0.42;5.95;0.03;0.13;0.92;0.0;2.87;0.0;0.0;0.0;2.3;0.0;22.9;0.0;0.0;0.0;6.65;0.22;0.0;68.73;0.0;3.42;0.0;0.0;74.98;0.73;0.0;0.0;0.0;84.83;156.32;0.0;0.0
2022-11-30;0.0;0.0;0.03;4.45;0.0;0.0;0.0;1.27;1.05;0.03;12.23;1.3;0.0;68.02;0.0;0.0;0.0;0.58;0.0;15.35;0.0;0.0;0.0;0.0;1.05;0.0;15.33;0.0;2.43;14.72;0.0;90.02;0.0;0.0;0.0;0.0;48.13;15.53;0.0;0.0
2022-12-01;0.0;0.0;0.0;7.97;1.55;0.0;0.0;0.28;4.27;1.05;0.2;0.75;0.0;64.73;0.0;0.47;0.0;0.82;0.0;7.97;0.0;0.0;0.0;0.0;0.75;0.0;38.28;0.0;1.13;0.0;0.0;145.58;0.0;0.0;0.0;0.0;59.73;2.62;0.0;0.0
2022-12-02;0.0;0.1;1.03;4.82;0.75;0.0;0.0;0.1;0.73;1.53;0.07;0.0;0.0;88.25;0.0;0.0;0.0;0.8;0.0;16.88;0.0;0.0;0.0;0.0;0.27;0.0;9.23;0.0;0.0;13.33;0.0;32.3;0.65;0.0;0.0;0.0;26.22;37.67;0.0;0.0
2022-12-03;0.0;0.0;0.0;6.27;0.3;0.0;0.0;0.02;1.18;1.48;0.12;1.2;0.0;94.33;1.35;0.02;0.0;1.22;0.0;18.6;0.0;0.0;0.0;1.55;0.0;0.0;31.58;0.0;0.0;0.0;0.0;174.03;0.0;0.0;0.0;0.0;60.23;0.0;0.0;0.0
