date;device_unlocks
2022-10-19 00:00:00,000;146
2022-10-20 00:00:00,000;117
2022-10-21 00:00:00,000;71
2022-10-22 00:00:00,000;117
2022-10-23 00:00:00,000;96
2022-10-24 00:00:00,000;221
2022-10-25 00:00:00,000;93
2022-10-26 00:00:00,000;172
2022-10-27 00:00:00,000;111
2022-10-28 00:00:00,000;113
2022-10-29 00:00:00,000;157
2022-10-30 00:00:00,000;123
2022-10-31 00:00:00,000;146
2022-11-01 00:00:00,000;137
2022-11-02 00:00:00,000;210
2022-11-03 00:00:00,000;202
2022-11-04 00:00:00,000;120
2022-11-05 00:00:00,000;161
2022-11-06 00:00:00,000;238
2022-11-07 00:00:00,000;111
2022-11-08 00:00:00,000;219
2022-11-09 00:00:00,000;223
2022-11-10 00:00:00,000;150
2022-11-11 00:00:00,000;118
2022-11-12 00:00:00,000;96
2022-11-13 00:00:00,000;179
2022-11-14 00:00:00,000;169
2022-11-15 00:00:00,000;151
2022-11-16 00:00:00,000;112
2022-11-17 00:00:00,000;114
2022-11-18 00:00:00,000;174
2022-11-19 00:00:00,000;181
2022-11-20 00:00:00,000;104
2022-11-21 00:00:00,000;213
2022-11-22 00:00:00,000;156
2022-11-23 00:00:00,000;197
2022-11-24 00:00:00,000;173
2022-11-25 00:00:00,000;144
2022-11-26 00:00:00,000;180
2022-11-27 00:00:00,000;214
2022-11-28 00:00:00,000;155
2022-11-29 00:00:00,000;189
2022-11-30 00:00:00,000;135
2022-12-01 00:00:00,000;106
2022-12-02 00:00:00,000;130
2022-12-03 00:00:00,000;227
2022-12-04 00:00:00,000;83
2022-12-05 00:00:00,000;155
2022-12-06 00:00:00,000;197
2022-12-07 00:00:00,000;133
2022-12-08 00:00:00,000;145
2022-12-09 00:00:00,000;210
2022-12-10 00:00:00,000;144
2022-12-11 00:00:00,000;180
2022-12-12 00:00:00,000;204
2022-12-13 00:00:00,000;202
2022-12-14 00:00:00,000;152
2022-12-15 00:00:00,000;241
2022-12-16 00:00:00,000;204
2022-12-17 00:00:00,000;152
2022-12-18 00:00:00,000;303
2022-12-19 00:00:00,000;223
2022-12-20 00:00:00,000;184
2022-12-21 00:00:00,000;117
2022-12-22 00:00:00,000;176
2022-12-23 00:00:00,000;134
2022-12-24 00:00:00,000;262
2022-12-25 00:00:00,000;169
2022-12-26 00:00:00,000;183
2022-12-27 00:00:00,000;218
2022-12-28 00:00:00,000;329
2022-12-29 00:00:00,000;198
2022-12-30 00:00:00,000;160
2022-12-31 00:00:00,000;371
2023-01-01 00:00:00,000;227
2023-01-02 00:00:00,000;234
2023-01-03 00:00:00,000;112
2023-01-04 00:00:00,000;146
2023-01-05 00:00:00,000;93
2023-01-06 00:00:00,000;209
2023-01-07 00:00:00,000;217
2023-01-08 00:00:00,000;242
2023-01-09 00:00:00,000;118
2023-01-10 00:00:00,000;190
2023-01-11 00:00:00,000;206
2023-01-12 00:00:00,000;147
2023-01-13 00:00:00,000;220
2023-01-14 00:00:00,000;128
2023-01-15 00:00:00,000;177
2023-01-16 00:00:00,000;140
2023-01-17 00:00:00,000;103
2023-01-18 00:00:00,000;174
2023-01-19 00:00:00,000;245
2023-01-20 00:00:00,000;80
2023-01-21 00:00:00,000;173
2023-01-22 00:00:00,000;361
2023-01-23 00:00:00,000;151
2023-01-24 00:00:00,000;133
2023-01-25 00:00:00,000;140
2023-01-26 00:00:00,000;134
2023-01-27 00:00:00,000;93
2023-01-28 00:00:00,000;146
2023-01-29 00:00:00,000;97
2023-01-30 00:00:00,000;128
2023-01-31 00:00:00,000;153
2023-02-01 00:00:00,000;184
2023-02-02 00:00:00,000;268
2023-02-03 00:00:00,000;128
2023-02-04 00:00:00,000;127
2023-02-05 00:00:00,000;112
2023-02-06 00:00:00,000;188
2023-02-07 00:00:00,000;140
2023-02-08 00:00:00,000;184
2023-02-09 00:00:00,000;161
2023-02-10 00:00:00,000;140
2023-02-11 00:00:00,000;205
2023-02-12 00:00:00,000;132
2023-02-13 00:00:00,000;151
2023-02-14 00:00:00,000;148
2023-02-15 00:00:00,000;200
2023-02-16 00:00:00,000;180
2023-02-17 00:00:00,000;184
2023-02-18 00:00:00,000;143
2023-02-19 00:00:00,000;277
2023-02-20 00:00:00,000;152
2023-02-21 00:00:00,000;237
2023-02-22 00:00:00,000;185
2023-02-23 00:00:00,000;153
2023-02-24 00:00:00,000;203
2023-02-25 00:00:00,000;156
2023-02-26 00:00:00,000;127
2023-02-27 00:00:00,000;199
2023-02-28 00:00:00,000;166
2023-03-01 00:00:00,000;146
2023-03-02 00:00:00,000;151
2023-03-03 00:00:00,000;195
2023-03-04 00:00:00,000;141
2023-03-05 00:00:00,000;124
2023-03-06 00:00:00,000;136
2023-03-07 00:00:00,000;165
2023-03-08 00:00:00,000;149
2023-03-09 00:00:00,000;158
2023-03-10 00:00:00,000;187
2023-03-11 00:00:00,000;166
2023-03-12 00:00:00,000;118
2023-03-13 00:00:00,000;117
2023-03-14 00:00:00,000;176
2023-03-15 00:00:00,000;142
2023-03-16 00:00:00,000;117
2023-03-17 00:00:00,000;139
2023-03-18 00:00:00,000;158
2023-03-19 00:00:00,000;129
