date;Device Unlocks
2022-10-19;146.0
2022-10-20;117.0
2022-10-21;71.0
2022-10-22;117.0
2022-10-23;96.0
2022-10-24;221.0
2022-10-25;93.0
2022-10-26;172.0
2022-10-27;111.0
2022-10-28;113.0
2022-10-29;157.0
2022-10-30;123.0
2022-10-31;146.0
2022-11-01;137.0
2022-11-02;210.0
2022-11-03;202.0
2022-11-04;120.0
2022-11-05;161.0
2022-11-06;238.0
2022-11-07;111.0
2022-11-08;219.0
2022-11-09;223.0
2022-11-10;150.0
2022-11-11;118.0
2022-11-12;96.0
2022-11-13;179.0
2022-11-14;169.0
2022-11-15;151.0
2022-11-16;112.0
2022-11-17;114.0
2022-11-18;174.0
2022-11-19;181.0
2022-11-20;104.0
2022-11-21;213.0
2022-11-22;156.0
2022-11-23;197.0
2022-11-24;173.0
2022-11-25;144.0
2022-11-26;180.0
2022-11-27;214.0
2022-11-28;155.0
2022-11-29;189.0
2022-11-30;135.0
2022-12-01;106.0
2022-12-02;130.0
2022-12-03;227.0
2022-12-04;83.0
2022-12-05;155.0
2022-12-06;197.0
2022-12-07;133.0
2022-12-08;145.0
2022-12-09;210.0
2022-12-10;144.0
2022-12-11;180.0
2022-12-12;204.0
2022-12-13;202.0
2022-12-14;152.0
2022-12-15;241.0
2022-12-16;204.0
2022-12-17;152.0
2022-12-18;303.0
2022-12-19;223.0
2022-12-20;184.0
2022-12-21;117.0
2022-12-22;176.0
2022-12-23;134.0
2022-12-24;262.0
2022-12-25;169.0
2022-12-26;183.0
2022-12-27;218.0
2022-12-28;329.0
2022-12-29;198.0
2022-12-30;160.0
2022-12-31;371.0
2023-01-01;227.0
2023-01-02;234.0
2023-01-03;112.0
2023-01-04;146.0
2023-01-05;93.0
2023-01-06;209.0
2023-01-07;217.0
2023-01-08;242.0
2023-01-09;118.0
2023-01-10;190.0
2023-01-11;206.0
2023-01-12;147.0
2023-01-13;220.0
2023-01-14;128.0
2023-01-15;177.0
2023-01-16;140.0
2023-01-17;103.0
2023-01-18;174.0
2023-01-19;245.0
2023-01-20;80.0
2023-01-21;173.0
2023-01-22;361.0
2023-01-23;151.0
2023-01-24;133.0
2023-01-25;140.0
2023-01-26;134.0
2023-01-27;93.0
2023-01-28;146.0
2023-01-29;97.0
2023-01-30;128.0
2023-01-31;153.0
2023-02-01;184.0
2023-02-02;268.0
2023-02-03;128.0
2023-02-04;127.0
2023-02-05;112.0
2023-02-06;188.0
2023-02-07;140.0
2023-02-08;184.0
2023-02-09;161.0
2023-02-10;140.0
2023-02-11;205.0
2023-02-12;132.0
2023-02-13;151.0
2023-02-14;148.0
2023-02-15;200.0
2023-02-16;180.0
2023-02-17;184.0
2023-02-18;143.0
2023-02-19;277.0
2023-02-20;152.0
2023-02-21;237.0
2023-02-22;185.0
2023-02-23;153.0
2023-02-24;203.0
2023-02-25;156.0
2023-02-26;127.0
2023-02-27;199.0
2023-02-28;166.0
2023-03-01;146.0
2023-03-02;151.0
2023-03-03;195.0
2023-03-04;141.0
2023-03-05;124.0
2023-03-06;136.0
2023-03-07;165.0
2023-03-08;149.0
2023-03-09;158.0
2023-03-10;187.0
2023-03-11;166.0
2023-03-12;118.0
2023-03-13;117.0
2023-03-14;176.0
2023-03-15;142.0
2023-03-16;117.0
2023-03-17;139.0
2023-03-18;158.0
2023-03-19;129.0
2023-03-20;108.0
2023-03-21;168.0
2023-03-22;150.0
2023-03-23;134.0
2023-03-24;215.0
2023-03-25;143.0
2023-03-26;59.0
2023-03-27;175.0
2023-03-28;192.0
2023-03-29;209.0
2023-03-30;198.0
2023-03-31;185.0
2023-04-01;126.0
2023-04-02;105.0
2023-04-03;113.0
2023-04-04;168.0
2023-04-05;106.0
2023-04-06;116.0
2023-04-07;126.0
2023-04-08;212.0
2023-04-09;160.0
2023-04-10;188.0
2023-04-11;152.0
2023-04-12;162.0
2023-04-13;167.0
2023-04-14;159.0
2023-04-15;84.0
2023-04-16;174.0
2023-04-17;177.0
2023-04-18;174.0
2023-04-19;140.0
2023-04-20;102.0
2023-04-21;127.0
2023-04-22;127.0
2023-04-23;99.0
2023-04-24;135.0
2023-04-25;161.0
2023-04-26;127.0
2023-04-27;207.0
2023-04-28;140.0
2023-04-29;156.0
2023-04-30;142.0
2023-05-01;147.0
2023-05-02;150.0
2023-05-03;145.0
2023-05-04;164.0
2023-05-05;107.0
2023-05-06;163.0
2023-05-07;124.0
2023-05-08;143.0
2023-05-09;119.0
2023-05-10;106.0
2023-05-11;182.0
2023-05-12;123.0
2023-05-13;106.0
2023-05-14;108.0
2023-05-15;129.0
2023-05-16;118.0
2023-05-17;116.0
2023-05-18;123.0
2023-05-19;127.0
2023-05-20;162.0
2023-05-21;98.0
2023-05-22;130.0
2023-05-23;196.0
2023-05-24;135.0
2023-05-25;105.0
2023-05-26;100.0
2023-05-27;126.0
2023-05-28;101.0
2023-05-29;108.0
2023-05-30;131.0
2023-05-31;179.0
2023-06-01;122.0
2023-06-02;116.0
2023-06-03;87.0
2023-06-04;138.0
2023-06-05;147.0
2023-06-06;136.0
2023-06-07;115.0
2023-06-08;117.0
2023-06-09;178.0
2023-06-10;124.0
2023-06-11;113.0
2023-06-12;280.0
2023-06-13;137.0
2023-06-14;174.0
2023-06-15;261.0
2023-06-16;89.0
2023-06-17;79.0
2023-06-18;124.0
2023-06-19;126.0
2023-06-20;84.0
2023-06-21;133.0
2023-06-22;147.0
2023-06-23;135.0
2023-06-24;123.0
2023-06-25;152.17995444191345
2023-06-26;152.17995444191345
2023-06-27;152.17995444191345
2023-06-28;152.17995444191345
2023-06-29;152.17995444191345
2023-06-30;152.17995444191345
2023-07-01;152.17995444191345
2023-07-02;152.17995444191345
2023-07-03;90.0
2023-07-04;116.0
2023-07-05;283.0
2023-07-06;58.0
2023-07-07;55.0
2023-07-08;49.0
2023-07-09;116.0
2023-07-10;81.0
2023-07-11;92.0
2023-07-12;92.0
2023-07-13;71.0
2023-07-14;87.0
2023-07-15;81.0
2023-07-16;92.0
2023-07-17;102.0
2023-07-18;128.0
2023-07-19;127.0
2023-07-20;65.0
2023-07-21;69.0
2023-07-22;95.0
2023-07-23;140.0
2023-07-24;96.0
2023-07-25;122.0
2023-07-26;115.0
2023-07-27;90.0
2023-07-28;86.0
2023-07-29;88.0
2023-07-30;83.0
2023-07-31;76.0
2023-08-01;114.0
2023-08-02;147.0
2023-08-03;106.0
2023-08-04;151.0
2023-08-05;91.0
2023-08-06;68.0
2023-08-07;77.0
2023-08-08;146.0
2023-08-09;143.0
2023-08-10;129.0
2023-08-11;155.0
2023-08-12;88.0
2023-08-13;128.0
2023-08-14;151.0
2023-08-15;200.0
2023-08-16;134.0
2023-08-17;186.0
2023-08-18;130.0
2023-08-19;156.0
2023-08-20;217.0
2023-08-21;136.0
2023-08-22;197.0
2023-08-23;147.0
2023-08-24;128.0
2023-08-25;169.0
2023-08-26;140.0
2023-08-27;130.0
2023-08-28;212.0
2023-08-29;187.0
2023-08-30;161.0
2023-08-31;135.0
2023-09-01;181.0
2023-09-02;166.0
2023-09-03;114.0
2023-09-04;148.0
2023-09-05;175.0
2023-09-06;134.0
2023-09-07;196.0
2023-09-08;176.0
2023-09-09;211.0
2023-09-10;139.0
2023-09-11;174.0
2023-09-12;177.0
2023-09-13;167.0
2023-09-14;213.0
2023-09-15;179.0
2023-09-16;179.0
2023-09-17;175.0
2023-09-18;166.0
2023-09-19;207.0
2023-09-20;184.0
2023-09-21;217.0
2023-09-22;125.0
2023-09-23;186.0
2023-09-24;150.0
2023-09-25;133.0
2023-09-26;168.0
2023-09-27;123.0
2023-09-28;217.0
2023-09-29;155.0
2023-09-30;240.0
2023-10-01;88.0
2023-10-02;124.0
2023-10-03;198.0
2023-10-04;190.0
2023-10-05;167.0
2023-10-06;167.0
2023-10-07;67.0
2023-10-08;53.0
2023-10-09;154.0
2023-10-10;167.0
2023-10-11;136.0
2023-10-12;232.0
2023-10-13;162.0
2023-10-14;154.0
2023-10-15;132.0
2023-10-16;130.0
2023-10-17;234.0
2023-10-18;136.0
2023-10-19;231.0
2023-10-20;122.0
2023-10-21;92.0
2023-10-22;220.0
2023-10-23;218.0
2023-10-24;142.0
2023-10-25;135.0
2023-10-26;109.0
2023-10-27;128.0
2023-10-28;145.0
2023-10-29;94.0
2023-10-30;126.0
2023-10-31;214.0
2023-11-01;114.0
2023-11-02;276.0
2023-11-03;172.0
2023-11-04;211.0
2023-11-05;148.0
2023-11-06;125.0
2023-11-07;102.0
2023-11-08;160.0
2023-11-09;132.0
2023-11-10;159.0
2023-11-11;114.0
2023-11-12;176.0
2023-11-13;134.0
2023-11-14;218.0
2023-11-15;144.0
2023-11-16;158.0
2023-11-17;161.0
2023-11-18;133.0
2023-11-19;125.0
2023-11-20;190.0
2023-11-21;183.0
2023-11-22;132.0
2023-11-23;191.0
2023-11-24;119.0
2023-11-25;183.0
2023-11-26;184.0
2023-11-27;205.0
