date;calendar.google.com;canva.com;chat.openai.com;colab.research.google.com;disneyplus.com;docs.google.com;geogebra.org;github.com;google.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;platzi.com;play.hbomax.com;pomofocus.io;skribbl.io;starplus.com;twitter.com;udea.edu.co;web.whatsapp.com;wolframalpha.com;youtube.com;total_usage
2022-10-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-01-21;0.5;0.0;8.98;17.17;0.0;0.0;0.0;6.33;6.77;3.5;0.0;1.12;0.8;47.27;0.0;0.62;0.0;0.0;16.22;0.0;9.27;0.0;62.2;180.75
2023-01-22;3.17;0.0;4.88;0.0;0.0;0.0;0.0;4.07;0.75;0.0;0.0;9.77;2.97;0.0;45.15;0.0;0.0;0.0;6.95;0.0;0.75;0.0;25.68;104.13999999999999
2023-01-23;0.53;0.0;28.65;0.0;0.0;0.0;0.0;29.63;8.88;4.8;0.38;9.37;11.83;0.0;0.0;0.0;51.2;0.0;4.3;3.52;17.57;0.0;76.3;246.95999999999998
2023-01-24;29.77;0.0;7.87;0.0;0.0;1.48;0.0;5.03;12.8;3.55;0.0;3.42;6.23;43.47;0.0;0.0;0.0;0.0;7.18;19.15;33.42;0.0;22.9;196.27
2023-01-25;11.28;0.0;9.13;0.0;0.0;0.6;0.0;5.78;11.53;4.55;0.0;44.93;5.17;0.0;0.0;0.0;26.25;0.0;21.43;26.97;25.35;0.0;88.43;281.4
2023-01-26;1.43;0.0;6.55;8.37;0.0;0.0;0.0;8.03;5.3;5.45;11.7;12.97;3.75;32.13;1.07;0.0;0.0;0.0;6.93;2.27;5.6;0.0;18.73;130.28
2023-01-27;0.0;7.5;27.72;0.98;0.0;0.0;0.0;53.12;14.72;5.08;5.72;3.52;9.15;0.28;42.33;0.0;29.97;0.0;2.62;3.9;17.83;0.0;34.8;259.24
2023-01-28;1.87;0.0;22.53;0.0;0.0;0.0;0.0;1.63;8.67;4.33;0.0;11.3;6.35;15.73;48.18;0.0;0.0;0.0;8.27;0.0;8.45;0.0;90.25;227.56
2023-01-29;0.0;0.0;12.42;21.27;0.0;0.0;0.0;1.7;10.77;13.73;0.0;0.63;4.27;47.67;0.0;0.0;0.0;0.0;0.0;0.0;6.08;0.0;51.32;169.86
2023-01-30;5.17;0.0;11.42;8.3;0.0;0.0;0.0;17.63;13.72;4.85;0.58;4.85;10.0;0.0;39.15;0.0;19.13;0.0;0.75;2.85;32.3;0.0;59.52;230.22
2023-01-31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22;3.73;14.62;0.0;2.2;1.33;0.0;0.0;0.0;0.0;0.0;4.18;0.0;4.45;0.0;8.45;39.18
2023-02-01;1.88;0.0;1.85;3.38;0.0;0.0;0.0;0.6;3.0;1.18;0.0;0.32;5.65;8.68;0.0;0.0;0.0;0.0;0.0;3.68;52.57;0.0;16.58;99.36999999999999
2023-02-02;1.83;0.0;1.88;0.0;0.0;5.48;0.0;0.0;1.3;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.1;0.0;0.0;19.590000000000003
2023-02-03;30.0;0.0;8.87;0.0;0.0;0.88;0.0;13.98;7.18;6.27;0.0;26.18;3.62;4.02;0.0;0.0;17.23;0.0;7.12;29.23;35.8;0.0;43.52;233.9
2023-02-04;10.67;23.18;10.98;0.0;0.0;0.0;0.0;0.48;15.9;6.25;0.0;3.57;7.65;0.0;0.0;0.0;0.0;0.0;12.33;0.7;12.28;0.0;44.78;148.76999999999998
2023-02-05;2.23;0.0;4.62;0.0;0.0;0.0;0.0;34.5;4.77;1.9;0.0;67.43;1.67;0.0;0.0;0.0;0.0;0.0;21.68;0.0;1.03;0.0;32.78;172.61
2023-02-06;10.5;0.0;2.48;6.57;0.0;0.2;0.0;0.25;5.45;3.03;3.68;12.97;2.27;0.0;7.13;0.0;0.0;0.0;8.68;2.38;11.8;0.0;29.67;107.06
2023-02-07;1.82;0.0;34.03;2.1;0.0;0.0;8.42;0.57;5.85;0.0;28.8;6.0;5.13;0.0;0.0;25.25;0.0;0.0;6.97;0.68;3.33;5.58;2.73;137.26000000000002
2023-02-08;18.52;0.0;11.4;0.0;0.0;0.0;0.0;0.0;3.67;0.0;40.6;1.88;7.35;0.0;0.0;0.0;0.0;0.0;4.2;0.6;23.67;0.0;5.85;117.73999999999998
2023-02-09;4.45;0.0;4.95;3.7;0.0;0.12;26.47;0.0;17.05;8.48;12.42;0.0;3.93;0.0;0.0;45.02;0.0;0.0;0.0;0.08;6.08;0.0;52.87;185.62
