date;Calculator;Calendar;Call of Duty;Camera;ChatGPT;Chrome;Cívica;Clash of Clans;Classroom;Clock;DiDi;Drive;Files;Gmail;Google;Google Play Store;HBO MAX;Instagram;LinkedIn;Maps;Mi Tigo;Microsoft 365 (Office);Nequi Colombia;Notion;Photos;Rappi;Settings;Spotify;Tasks;Truecaller;Twitter;tyba;WhatsApp;YouTube;YouTube Music;total_usage
2023-06-25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-07-03;0.0;0.0;0.0;1.0;0.0;10.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;2.0;1.0;28.0;3.0;0.0;0.0;0.0;0.0;3.0;11.0;0.0;15.0;0.0;37.0;0.0;1.0;10.0;0.0;2.0;53.0;10.0;13.0;207.0
2023-07-04;0.0;1.0;0.0;5.0;0.0;7.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;12.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;7.0;0.0;1.0;5.0;0.0;0.0;84.0;29.0;21.0;185.0
2023-07-05;7.0;2.0;0.0;3.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;3.0;4.0;3.0;32.0;8.0;0.0;7.0;2.0;0.0;0.0;1.0;0.0;7.0;0.0;2.0;4.0;0.0;0.0;121.0;6.0;17.0;249.0
2023-07-06;2.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;1.0;3.0;0.0;10.0;13.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;0.0;1.0;0.0;1.0;0.0;34.0;9.0;0.0;105.0
2023-07-07;1.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;15.0;9.0;3.0;4.0;0.0;1.0;0.0;0.0;0.0;10.0;0.0;1.0;3.0;0.0;0.0;29.0;13.0;10.0;118.0
2023-07-08;2.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;4.0;26.0;6.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;12.0;0.0;0.0;5.0;0.0;0.0;23.0;23.0;8.0;123.0
2023-07-09;4.0;0.0;0.0;9.0;0.0;13.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;11.0;56.0;9.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;10.0;0.0;1.0;3.0;0.0;0.0;77.0;11.0;22.0;240.0
2023-07-10;1.0;0.0;0.0;7.0;0.0;7.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;28.0;2.0;0.0;1.0;1.0;0.0;0.0;5.0;0.0;6.0;0.0;0.0;3.0;0.0;0.0;50.0;11.0;12.0;143.0
2023-07-11;2.0;0.0;0.0;13.0;0.0;6.0;0.0;0.0;0.0;8.0;0.0;0.0;4.0;1.0;5.0;0.0;3.0;45.0;4.0;0.0;6.0;0.0;1.0;0.0;10.0;0.0;15.0;0.0;2.0;2.0;0.0;0.0;43.0;18.0;24.0;212.0
2023-07-12;1.0;1.0;0.0;3.0;0.0;8.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;1.0;50.0;5.0;0.0;5.0;7.0;0.0;0.0;2.0;0.0;5.0;0.0;2.0;8.0;0.0;0.0;61.0;13.0;23.0;204.0
2023-07-13;2.0;1.0;0.0;1.0;0.0;10.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;37.0;6.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;4.0;0.0;4.0;0.0;1.0;0.0;66.0;20.0;29.0;202.0
2023-07-14;9.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;5.0;3.0;0.0;0.0;41.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;1.0;0.0;0.0;101.0;9.0;15.0;209.0
2023-07-15;23.0;0.0;0.0;1.0;0.0;20.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;1.0;0.0;1.0;0.0;12.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;10.0;0.0;0.0;3.0;1.0;0.0;42.0;13.0;14.0;154.0
2023-07-16;3.0;1.0;0.0;1.0;0.0;11.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;6.0;4.0;2.0;4.0;0.0;4.0;0.0;1.0;0.0;0.0;2.0;3.0;0.0;1.0;0.0;8.0;5.0;0.0;0.0;44.0;28.0;11.0;145.0
2023-07-17;6.0;0.0;0.0;0.0;0.0;33.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;10.0;2.0;2.0;1.0;3.0;18.0;0.0;2.0;7.0;0.0;0.0;3.0;0.0;9.0;0.0;5.0;4.0;0.0;0.0;68.0;20.0;25.0;224.0
2023-07-18;4.0;0.0;0.0;2.0;0.0;18.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;6.0;2.0;1.0;0.0;0.0;10.0;0.0;4.0;2.0;2.0;0.0;0.0;0.0;2.0;0.0;1.0;5.0;0.0;0.0;104.0;13.0;10.0;193.0
2023-07-19;2.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;6.0;0.0;0.0;4.0;0.0;4.0;0.0;2.0;8.0;0.0;13.0;0.0;0.0;3.0;0.0;0.0;6.0;0.0;0.0;96.0;20.0;18.0;206.0
2023-07-20;6.0;1.0;0.0;2.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;4.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;29.0;27.0;10.0;117.0
2023-07-21;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;1.0;8.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;37.0;24.0;9.0;95.0
2023-07-22;0.0;1.0;0.0;10.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;5.0;38.0;5.0;0.0;0.0;2.0;0.0;0.0;6.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;83.0;21.0;29.0;217.0
2023-07-23;0.0;1.0;0.0;9.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;38.0;0.0;1.0;1.0;0.0;0.0;0.0;10.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;131.0;13.0;20.0;246.0
2023-07-24;3.0;1.0;0.0;2.0;0.0;13.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;4.0;23.0;5.0;0.0;2.0;2.0;0.0;0.0;3.0;0.0;4.0;0.0;3.0;5.0;0.0;0.0;74.0;23.0;28.0;203.0
2023-07-25;1.0;5.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;9.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;2.0;10.0;0.0;3.0;0.0;10.0;0.0;2.0;0.0;1.0;0.0;82.0;12.0;31.0;203.0
2023-07-26;1.0;2.0;0.0;1.0;0.0;18.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;3.0;3.0;0.0;12.0;0.0;0.0;6.0;2.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;62.0;7.0;41.0;171.0
2023-07-27;0.0;1.0;0.0;2.0;0.0;15.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;3.0;0.0;1.0;8.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;60.0;6.0;21.0;145.0
2023-07-28;2.0;1.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;22.0;0.0;0.0;6.0;1.0;0.0;0.0;4.0;0.0;1.0;0.0;2.0;6.0;5.0;0.0;64.0;7.0;17.0;155.0
2023-07-29;1.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;1.0;3.0;2.0;5.0;43.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;2.0;0.0;36.0;19.0;21.0;182.0
2023-07-30;0.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;4.0;1.0;0.0;4.0;38.0;2.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;56.0;7.0;8.0;146.0
2023-07-31;1.0;5.0;0.0;2.0;0.0;14.0;4.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;7.0;1.0;16.0;1.0;0.0;11.0;0.0;0.0;0.0;2.0;0.0;10.0;0.0;4.0;1.0;0.0;0.0;78.0;6.0;11.0;180.0
2023-08-01;7.0;7.0;0.0;0.0;0.0;10.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;10.0;0.0;0.0;2.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;57.0;7.0;31.0;148.0
2023-08-02;7.0;3.0;0.0;4.0;0.0;22.0;0.0;0.0;10.0;4.0;0.0;2.0;1.0;12.0;2.0;1.0;0.0;0.0;0.0;1.0;5.0;2.0;0.0;0.0;0.0;0.0;13.0;0.0;1.0;0.0;0.0;0.0;113.0;4.0;33.0;240.0
