date;bing.com;calendar.google.com;chat.openai.com;classroom.google.com;colab.research.google.com;docs.google.com;drive.google.com;es.symbolab.com;facebook.com;familia-losruedaposadamv.on.drv.tw;freelancer.com.co;github.com;google.com;hbomax.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;meet.google.com;netflix.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rappi.com.co;roblox.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;udeaeduco-my.sharepoint.com;upwork.com;whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-06-25;29.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;7.0;0.0;0.0;7.0;15.0;2.0;16.0;94.0
2023-06-26;49.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;7.0;3.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;12.0;14.0;31.0;0.0;14.0;166.0
2023-06-27;93.0;0.0;22.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;23.0;6.0;20.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;5.0;56.0;15.0;24.0;0.0;24.0;322.0
2023-06-28;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;10.0;25.0
2023-06-29;46.0;28.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;16.0;0.0;1.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;25.0;39.0;22.0;30.0;0.0;30.0;265.0
2023-06-30;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0
2023-07-01;57.0;0.0;5.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;3.0;7.0;7.0;13.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;27.0;0.0;0.0;8.0;0.0;0.0;1.0;7.0;26.0;10.0;0.0;79.0;264.0
2023-07-02;51.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;17.0;0.0;5.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;88.0;0.0;0.0;2.0;0.0;8.0;1.0;1.0;0.0;20.0;0.0;17.0;234.0
2023-07-03;24.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;10.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;21.0;0.0;2.0;10.0;6.0;0.0;20.0;0.0;27.0;194.0
2023-07-04;23.0;1.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;5.0;0.0;3.0;8.0;35.0;6.0;0.0;0.0;79.0;0.0;48.0;0.0;0.0;9.0;0.0;0.0;4.0;0.0;9.0;8.0;0.0;11.0;283.0
