date;chat.openai.com;facebook.com;google.com;instagram.com;page.didiglobal.com;tiktok.com;udea.edu.co;total_usage
2023-06-25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023-07-03;0.0;0.0;7.0;0.0;0.0;4.0;0.0;11.0
2023-07-04;0.0;0.0;3.0;3.0;0.0;2.0;0.0;8.0
2023-07-05;0.0;0.0;3.0;8.0;0.0;0.0;1.0;12.0
2023-07-06;0.0;0.0;7.0;0.0;0.0;2.0;0.0;9.0
2023-07-07;0.0;0.0;5.0;0.0;0.0;0.0;1.0;6.0
2023-07-08;3.0;0.0;5.0;0.0;0.0;0.0;0.0;8.0
2023-07-09;0.0;0.0;4.0;2.0;0.0;0.0;0.0;6.0
2023-07-10;0.0;0.0;6.0;0.0;0.0;3.0;0.0;9.0
2023-07-11;0.0;0.0;8.0;0.0;0.0;1.0;0.0;9.0
2023-07-12;0.0;0.0;11.0;1.0;0.0;0.0;0.0;12.0
2023-07-13;0.0;0.0;10.0;0.0;0.0;0.0;0.0;10.0
2023-07-14;1.0;0.0;8.0;0.0;0.0;0.0;0.0;9.0
2023-07-15;0.0;0.0;9.0;17.0;0.0;0.0;0.0;26.0
2023-07-16;0.0;0.0;8.0;1.0;0.0;0.0;0.0;9.0
2023-07-17;0.0;0.0;18.0;9.0;0.0;0.0;9.0;36.0
2023-07-18;0.0;0.0;7.0;16.0;0.0;3.0;0.0;26.0
2023-07-19;0.0;0.0;4.0;6.0;0.0;0.0;4.0;14.0
2023-07-20;0.0;0.0;10.0;15.0;0.0;0.0;0.0;25.0
2023-07-21;0.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0
2023-07-22;0.0;0.0;2.0;1.0;0.0;2.0;0.0;5.0
2023-07-23;0.0;0.0;12.0;1.0;0.0;0.0;0.0;13.0
2023-07-24;0.0;0.0;9.0;2.0;0.0;3.0;0.0;14.0
2023-07-25;14.0;0.0;16.0;5.0;0.0;0.0;5.0;40.0
2023-07-26;5.0;0.0;11.0;11.0;0.0;0.0;0.0;27.0
2023-07-27;4.0;0.0;7.0;10.0;0.0;0.0;0.0;21.0
2023-07-28;1.0;1.0;0.0;3.0;0.0;0.0;0.0;5.0
2023-07-29;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0
2023-07-30;2.0;1.0;1.0;0.0;0.0;0.0;3.0;7.0
2023-07-31;2.0;0.0;3.0;0.0;0.0;0.0;4.0;9.0
2023-08-01;3.0;0.0;0.0;3.0;0.0;0.0;4.0;10.0
2023-08-02;0.0;0.0;21.0;4.0;0.0;0.0;1.0;26.0
2023-08-03;4.0;0.0;8.0;8.0;0.0;0.0;14.0;34.0
2023-08-04;1.0;0.0;3.0;34.0;0.0;1.0;0.0;39.0
2023-08-05;2.0;0.0;6.0;1.0;0.0;3.0;0.0;12.0
2023-08-06;4.0;3.0;11.0;13.0;0.0;0.0;0.0;31.0
2023-08-07;4.0;0.0;5.0;14.0;0.0;0.0;0.0;23.0
2023-08-08;4.0;0.0;11.0;16.0;0.0;0.0;0.0;31.0
2023-08-09;1.0;0.0;28.0;5.0;0.0;0.0;0.0;34.0
2023-08-10;2.0;1.0;15.0;2.0;0.0;0.0;0.0;20.0
2023-08-11;2.0;0.0;5.0;0.0;0.0;0.0;0.0;7.0
2023-08-12;0.0;0.0;17.0;0.0;0.0;0.0;0.0;17.0
2023-08-13;4.0;0.0;19.0;16.0;0.0;0.0;0.0;39.0
2023-08-14;5.0;0.0;5.0;3.0;0.0;0.0;4.0;17.0
2023-08-15;0.0;0.0;10.0;23.0;0.0;0.0;0.0;33.0
2023-08-16;0.0;0.0;6.0;20.0;5.0;0.0;0.0;31.0
2023-08-17;1.0;0.0;4.0;15.0;0.0;10.0;0.0;30.0
2023-08-18;2.0;0.0;2.0;7.0;0.0;2.0;1.0;14.0
2023-08-19;6.0;4.0;4.0;1.0;0.0;0.0;0.0;15.0
2023-08-20;2.0;0.0;18.0;0.0;0.0;0.0;0.0;20.0
2023-08-21;0.0;0.0;13.0;5.0;1.0;0.0;6.0;25.0
2023-08-22;10.0;2.0;0.0;14.0;0.0;0.0;0.0;26.0
2023-08-23;5.0;0.0;3.0;12.0;0.0;1.0;0.0;21.0
2023-08-24;11.0;0.0;11.0;13.0;2.0;0.0;0.0;37.0
2023-08-25;5.0;0.0;13.0;12.0;0.0;0.0;0.0;30.0
2023-08-26;3.0;2.0;5.0;5.0;0.0;0.0;0.0;15.0
2023-08-27;1.0;0.0;7.0;0.0;0.0;0.0;0.0;8.0
2023-08-28;8.0;0.0;4.0;11.0;0.0;0.0;0.0;23.0
2023-08-29;3.0;0.0;18.0;9.0;0.0;0.0;5.0;35.0
2023-08-30;4.0;0.0;21.0;9.0;1.0;0.0;5.0;40.0
2023-08-31;11.0;7.0;24.0;25.0;12.0;0.0;8.0;87.0
2023-09-01;2.0;0.0;3.0;17.0;1.0;0.0;1.0;24.0
2023-09-02;0.0;0.0;17.0;26.0;0.0;2.0;0.0;45.0
2023-09-03;0.0;0.0;3.0;9.0;0.0;0.0;4.0;16.0
2023-09-04;0.0;1.0;19.0;24.0;3.0;0.0;0.0;47.0
2023-09-05;0.0;0.0;19.0;11.0;1.0;1.0;0.0;32.0
