date;bing.com;chat.openai.com;classroom.google.com;colab.research.google.com;docs.google.com;drive.google.com;es.symbolab.com;freelancer.com.co;github.com;google.com;hbomax.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;meet.google.com;netflix.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;upwork.com;whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-06-25;7.07;3.42;0.0;0.0;0.0;0.0;0.07;0.0;2.0;0.2;0.05;4.73;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;2.12;0.0;206.75;9.57;0.33;135.5;372.01
2023-06-26;3.45;4.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.62;30.62;2.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.15;13.72;0.0;14.58;73.29
2023-06-27;11.47;13.55;0.0;0.0;1.53;0.0;0.0;0.0;27.63;0.32;115.72;0.0;0.0;0.0;3.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23;1.05;9.13;7.6;0.0;42.02;233.72
2023-06-28;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.0;0.0;2.87;0.0;42.47;46.019999999999996
2023-06-29;3.85;2.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;29.02;0.0;0.12;1.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.82;3.1;12.25;0.0;78.37;151.65
2023-06-30;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.64
2023-07-01;8.68;1.33;0.0;0.0;0.0;0.68;0.0;0.0;0.73;0.58;52.03;22.3;0.0;0.0;0.83;0.0;0.0;0.0;0.0;4.62;0.0;0.0;0.0;0.03;7.65;4.62;0.0;226.0;330.08000000000004
2023-07-02;10.93;4.33;0.0;0.0;0.0;0.0;0.0;0.0;1.67;5.43;0.0;16.57;13.97;0.0;0.0;0.0;0.0;0.0;0.0;75.03;0.0;0.0;1.72;0.37;0.0;6.85;0.0;46.52;183.39000000000001
2023-07-03;8.45;2.72;0.0;0.0;0.0;0.0;0.0;0.0;0.85;0.12;0.0;11.45;0.0;0.0;2.17;0.0;0.0;0.0;0.0;29.23;0.0;0.0;0.3;1.63;0.0;11.22;0.0;29.0;97.14
2023-07-04;4.0;7.03;0.0;0.0;0.0;0.0;0.0;0.0;0.95;0.52;0.0;16.25;2.47;3.25;4.93;0.0;0.0;49.55;0.0;22.98;0.0;0.0;0.0;0.55;2.38;2.07;0.0;33.8;150.72999999999996
2023-07-05;11.95;19.08;0.0;0.0;0.0;0.0;0.0;0.0;20.28;1.13;0.0;0.0;30.42;24.05;3.12;0.0;0.0;37.1;0.0;4.58;0.0;0.0;6.0;6.28;0.0;4.6;0.0;48.05;216.64000000000004
2023-07-06;2.7;20.07;0.0;18.0;0.35;5.1;0.0;0.0;5.85;3.78;0.0;10.9;0.0;9.88;0.18;0.0;0.0;0.0;0.0;30.57;0.0;0.0;0.0;0.0;0.45;7.55;0.0;161.27;276.65
2023-07-07;8.75;21.48;0.0;0.0;0.28;0.12;0.0;0.0;6.65;0.68;0.0;21.22;0.0;15.3;0.5;0.0;0.0;0.0;0.0;23.68;0.0;0.0;5.15;0.0;0.0;9.37;0.0;143.63;256.81
2023-07-08;3.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23;0.38;0.0;14.27;0.0;0.03;0.27;0.0;0.0;0.0;0.0;33.93;0.0;0.0;0.0;0.08;0.0;12.15;0.0;21.83;86.72
2023-07-09;2.03;8.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.0;0.85;0.0;0.38;0.32;0.0;0.0;0.0;0.0;68.27;0.0;0.0;0.47;0.0;0.0;11.55;0.0;146.08;238.57
2023-07-10;0.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.43;0.0;0.0;0.0;1.75;0.0;0.98;0.0;0.0;18.34
2023-07-11;0.73;1.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17;0.0;1.6;0.0;1.02;0.25;0.0;0.0;0.0;0.0;12.85;0.0;0.0;0.0;1.53;0.0;1.25;0.0;0.0;20.830000000000002
2023-07-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.97
2023-07-13;3.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.93;0.0;0.0;0.0;0.0;0.0;35.77;0.0;0.1;0.0;0.0;0.0;8.9;0.0;36.77;85.99000000000001
2023-07-14;3.37;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.15;0.0;0.0;0.15;0.13;0.0;0.0;0.0;12.4;0.0;26.6;0.0;0.0;0.0;0.37;0.0;5.82;0.0;0.0;51.89
2023-07-15;0.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;10.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.77
2023-07-16;1.3;9.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08;0.0;0.0;27.32;0.0;0.0;0.0;0.0;0.0;0.0;6.53;0.0;0.0;0.38;0.0;0.0;0.0;0.0;51.55;96.36
2023-07-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48;0.6;0.0;0.0;0.0;0.0;15.78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.86
2023-07-18;3.4;10.98;0.0;0.0;0.0;0.0;0.0;0.0;3.38;0.12;0.0;7.92;1.7;0.0;5.2;0.0;0.0;0.0;0.0;0.83;0.0;0.0;3.22;4.15;1.92;22.15;0.0;129.3;194.27
2023-07-19;5.82;11.77;0.0;0.0;0.13;0.0;0.0;0.0;5.6;4.53;0.0;9.15;0.0;0.0;2.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7;7.77;0.0;5.87;0.0;98.98;154.34
2023-07-20;16.85;7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27;0.0;18.35;0.0;0.0;1.48;0.0;0.0;0.0;0.0;0.0;0.58;0.0;0.0;0.0;17.38;1.43;0.0;108.13;171.76999999999998
2023-07-21;8.82;20.82;0.0;0.0;0.0;0.0;0.0;0.0;3.5;0.0;0.0;25.38;0.0;0.0;0.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.3;0.0;0.0;0.12;0.0;135.52;202.34000000000003
2023-07-22;2.83;18.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.55;162.08;0.0;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.52;2.4;0.0;0.17;0.0;65.95;259.75
2023-07-23;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;130.12;0.0;0.0;0.0;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;136.25;267.06
2023-07-24;0.7;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.23;11.55;0.0;6.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.65;0.0;12.18;0.0;23.43;64.94
2023-07-25;0.0;2.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.87
2023-07-26;4.0;23.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22;0.0;6.53;0.0;0.0;0.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;13.27;0.0;0.0;73.53;121.71
2023-07-27;2.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.82;0.0;0.0;0.0;0.0;0.0;3.47;0.0;0.0;0.0;0.0;0.0;0.0;0.05;2.15;0.83;0.0;0.0;0.0;0.0;10.639999999999999
2023-07-28;9.18;23.28;0.0;0.0;0.0;0.0;0.0;0.0;8.33;0.47;0.0;0.93;15.78;112.3;0.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27;0.0;69.4;9.43;0.0;70.12;320.21000000000004
2023-07-29;9.27;10.57;0.0;0.0;0.0;0.0;0.0;0.0;0.43;7.67;73.62;5.17;70.17;1.62;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.12;5.57;0.92;0.0;35.07;224.6
2023-07-30;7.58;32.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.25;114.63;8.33;0.0;14.13;1.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.65;0.0;21.17;7.57;0.0;259.67;483.93
2023-07-31;2.02;2.77;0.0;0.0;0.62;3.9;0.0;0.0;0.0;0.1;0.0;3.33;0.0;0.0;4.97;0.0;0.0;0.0;0.0;0.0;0.0;23.55;0.0;1.65;5.95;3.47;0.0;5.7;58.03000000000001
2023-08-01;4.57;1.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;1.73;0.0;0.0;0.0;0.0;0.0;0.0;39.67;0.0;0.0;1.25;1.08;0.0;11.8;61.510000000000005
2023-08-02;3.15;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.48;0.0;0.0;2.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38;19.23
2023-08-03;0.95;2.03;0.0;0.0;0.43;0.0;0.0;0.0;0.0;0.05;0.0;5.4;0.0;0.0;1.15;0.0;0.0;0.0;0.0;0.0;0.0;47.55;0.0;0.05;0.0;0.0;0.0;0.0;57.60999999999999
