date;google.com;instagram.com;udea.edu.co;total_usage
2023-06-25;0.0;0.0;0.0;0.0
2023-07-03;0.93;0.0;0.0;0.93
2023-07-04;0.27;4.47;0.0;4.74
2023-07-05;0.98;3.65;0.05;4.68
2023-07-06;3.4;0.0;0.0;3.4
2023-07-07;0.55;0.0;0.5;1.05
2023-07-08;1.55;0.0;0.0;1.55
2023-07-09;0.4;0.63;0.0;1.03
2023-07-10;0.8;0.0;0.0;0.8
2023-07-11;2.48;0.0;0.0;2.48
2023-07-12;1.48;0.52;0.0;2.0
2023-07-13;3.55;0.0;0.0;3.55
2023-07-14;3.22;0.0;0.0;3.22
2023-07-15;1.25;13.0;0.0;14.25
2023-07-16;1.87;0.32;0.0;2.19
2023-07-17;2.05;8.22;5.58;15.85
2023-07-18;0.73;16.22;0.0;16.95
2023-07-19;0.17;4.48;3.35;8.0
2023-07-20;2.45;13.18;0.0;15.629999999999999
2023-07-21;0.0;2.9;0.0;2.9
2023-07-22;0.1;0.02;0.0;0.12000000000000001
2023-07-23;2.87;0.22;0.0;3.0900000000000003
2023-07-24;2.0;0.33;0.0;2.33
2023-07-25;3.6;2.7;2.27;8.57
2023-07-26;3.7;13.77;0.0;17.47
2023-07-27;1.17;9.15;0.0;10.32
2023-07-28;0.0;0.9;0.0;0.9
2023-07-29;0.1;0.0;0.0;0.1
2023-07-30;0.12;0.0;0.67;0.79
2023-07-31;0.22;0.0;2.35;2.5700000000000003
2023-08-01;0.0;2.9;0.28;3.1799999999999997
2023-08-02;5.28;3.83;0.15;9.26
2023-08-03;2.23;4.43;2.57;9.23
2023-08-04;0.38;19.02;0.0;19.4
2023-08-05;2.27;1.4;0.0;3.67
2023-08-06;3.72;24.17;0.0;27.89
2023-08-07;1.0;12.95;0.0;13.95
2023-08-08;2.93;7.73;0.0;10.66
2023-08-09;5.4;2.78;0.0;8.18
2023-08-10;3.35;1.37;0.0;4.720000000000001
2023-08-11;0.48;0.0;0.0;0.48
2023-08-12;2.7;0.0;0.0;2.7
2023-08-13;2.97;11.4;0.0;14.370000000000001
2023-08-14;0.62;0.83;4.98;6.430000000000001
2023-08-15;0.58;11.08;0.0;11.66
2023-08-16;0.9;12.37;0.0;13.27
2023-08-17;0.33;5.1;0.0;5.43
2023-08-18;0.23;4.57;0.37;5.170000000000001
2023-08-19;1.22;1.18;0.0;2.4
2023-08-20;5.4;0.0;0.0;5.4
2023-08-21;4.25;3.7;0.42;8.370000000000001
2023-08-22;0.0;8.92;0.0;8.92
2023-08-23;0.73;4.85;0.0;5.58
2023-08-24;5.42;12.93;0.0;18.35
2023-08-25;3.07;2.13;0.0;5.199999999999999
2023-08-26;2.97;4.8;0.0;7.77
2023-08-27;2.38;0.0;0.0;2.38
2023-08-28;0.38;6.75;0.0;7.13
2023-08-29;3.4;8.35;5.12;16.87
2023-08-30;7.12;8.62;5.05;20.79
2023-08-31;6.5;25.12;2.72;34.34
2023-09-01;0.53;16.28;0.9;17.71
2023-09-02;2.25;23.7;0.0;25.95
2023-09-03;0.45;17.18;0.57;18.2
2023-09-04;3.7;9.35;0.0;13.05
2023-09-05;4.7;7.28;0.0;11.98
2023-09-06;1.72;0.0;0.0;1.72
2023-09-07;0.92;0.0;0.0;0.92
2023-09-08;2.28;4.6;1.55;8.43
2023-09-09;2.17;26.58;0.0;28.75
