date;pomofocus.io;platzi.com;power.larc.nasa.gov;skribbl.io;docs.google.com;drive.google.com;replit.com;instagram.com;medium.com;mail.google.com;linkedin.com;kaggle.com;geogebra.org;github.com;google.com;udea.edu.co;twitter.com;canva.com;calendar.google.com;wolframalpha.com;youtube.com;web.whatsapp.com;colab.research.google.com;chat.openai.com;stackoverflow.com
2022-10-28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-01-21;9;30;0;0;0;10;0;1;11;8;5;0;0;22;39;0;23;0;1;0;20;27;23;15;6
2023-01-22;0;0;0;0;0;3;0;0;0;10;12;0;0;11;11;0;14;0;5;0;12;7;0;15;2
2023-01-23;0;0;8;124;0;0;0;5;1;33;12;1;0;38;55;14;8;0;5;0;28;113;0;37;5
2023-01-24;0;19;0;0;4;0;0;8;35;23;12;0;0;7;70;66;9;0;60;0;12;79;0;17;34
2023-01-25;0;0;0;33;1;0;0;2;16;31;65;0;0;14;75;50;32;0;33;0;44;87;0;17;10
2023-01-26;0;22;0;0;0;7;0;4;3;14;10;31;0;12;34;1;16;0;1;0;35;24;9;14;10
2023-01-27;0;3;0;31;0;6;0;4;9;32;12;13;0;76;54;9;4;4;0;0;15;60;5;40;6
2023-01-28;0;4;0;0;0;0;0;5;3;12;28;0;0;2;33;0;15;0;3;0;12;28;0;30;3
2023-01-29;0;39;13;0;0;7;0;4;0;11;1;0;0;6;44;0;0;0;0;0;24;26;22;28;0
2023-01-30;0;0;0;37;0;0;0;6;0;27;7;1;0;27;88;6;2;0;15;0;44;91;17;22;5
2023-01-31;0;0;2;0;0;0;0;8;0;6;7;0;0;2;10;0;7;0;0;0;10;11;0;0;0
2023-02-01;0;45;0;0;0;11;70;2;0;25;3;0;0;1;24;7;0;0;3;0;7;130;15;12;0
2023-02-02;0;0;0;0;5;0;0;0;0;3;0;0;0;0;7;0;0;0;5;0;0;9;0;7;0
2023-02-03;0;14;0;22;1;0;39;6;0;15;42;0;0;9;50;55;13;0;42;0;18;107;0;34;8
2023-02-04;0;0;0;0;0;0;2;10;0;19;12;0;0;4;47;5;17;33;14;0;29;53;0;15;0
2023-02-05;0;0;0;0;0;0;0;1;0;8;32;0;0;53;28;0;24;0;1;0;14;4;0;9;3
2023-02-06;0;0;0;0;3;4;8;2;10;11;23;1;0;1;30;9;14;0;6;0;18;30;7;6;8
2023-02-07;26;0;0;0;0;9;0;0;1;12;6;22;4;6;29;4;11;0;4;4;7;20;3;28;3
