date;chat.openai.com;google.com;instagram.com;openai.com;tiktok.com;udea.edu.co;vm.tiktok.com;total_usage;facebook.com;page.didiglobal.com
2022-10-28;0.0;12.0;0.0;0.0;2.0;2.0;2.0;18.0;0.0;0.0
2022-10-29;0.0;13.0;2.0;0.0;5.0;3.0;1.0;24.0;0.0;0.0
2022-10-30;0.0;5.0;0.0;0.0;10.0;1.0;3.0;19.0;0.0;0.0
2022-10-31;0.0;4.0;0.0;0.0;3.0;0.0;1.0;8.0;0.0;0.0
2022-11-01;0.0;12.0;0.0;0.0;12.0;0.0;6.0;30.0;0.0;0.0
2022-11-02;0.0;40.0;0.0;0.0;3.0;6.0;2.0;51.0;0.0;0.0
2022-11-03;0.0;17.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0
2022-11-04;0.0;16.0;0.0;0.0;1.0;0.0;1.0;18.0;0.0;0.0
2022-11-05;0.0;4.0;3.0;0.0;2.0;0.0;1.0;10.0;0.0;0.0
2022-11-06;0.0;10.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0
2022-11-07;0.0;9.0;0.0;0.0;4.0;0.0;4.0;17.0;0.0;0.0
2022-11-08;0.0;11.0;0.0;0.0;2.0;5.0;1.0;19.0;0.0;0.0
2022-11-09;0.0;20.0;0.0;0.0;2.0;2.0;1.0;25.0;0.0;0.0
2022-11-10;0.0;13.0;0.0;0.0;3.0;0.0;2.0;18.0;0.0;0.0
2022-11-11;0.0;39.0;0.0;0.0;0.0;0.0;0.0;39.0;0.0;0.0
2022-11-12;0.0;4.0;0.0;0.0;1.0;0.0;1.0;6.0;0.0;0.0
2022-11-13;0.0;12.0;0.0;0.0;10.0;3.0;4.0;29.0;0.0;0.0
2022-11-14;0.0;9.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0
2022-11-15;0.0;15.0;0.0;0.0;0.0;12.0;0.0;27.0;0.0;0.0
2022-11-16;0.0;13.0;0.0;0.0;0.0;2.0;0.0;15.0;0.0;0.0
2022-11-17;0.0;4.0;0.0;0.0;0.0;3.0;0.0;7.0;0.0;0.0
2022-11-18;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
2022-11-19;0.0;16.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0
2022-11-20;0.0;4.0;0.0;0.0;2.0;0.0;1.0;7.0;0.0;0.0
2022-11-21;0.0;6.0;0.0;0.0;3.0;9.0;1.0;19.0;0.0;0.0
2022-11-22;0.0;12.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0
2022-11-23;0.0;3.0;0.0;0.0;6.0;0.0;5.0;14.0;0.0;0.0
2022-11-24;0.0;12.0;0.0;0.0;2.0;8.0;1.0;23.0;0.0;0.0
2022-11-25;0.0;7.0;0.0;0.0;0.0;6.0;0.0;13.0;0.0;0.0
2022-11-26;0.0;4.0;0.0;0.0;5.0;1.0;2.0;12.0;0.0;0.0
2022-11-27;0.0;1.0;0.0;0.0;0.0;10.0;0.0;11.0;0.0;0.0
2022-11-28;0.0;8.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;0.0
