date;chat.openai.com;google.com;instagram.com;tiktok.com;udea.edu.co;total_usage
2022-10-28;0.0;1.85;0.0;0.78;0.82;3.4499999999999997
2022-10-29;0.0;5.23;1.55;2.42;1.82;11.02
2022-10-30;0.0;3.47;0.0;1.38;0.72;5.569999999999999
2022-10-31;0.0;1.2;0.0;0.82;0.0;2.02
2022-11-01;0.0;4.6;0.0;2.3;0.0;6.8999999999999995
2022-11-02;0.0;11.78;0.0;1.08;0.48;13.34
2022-11-03;0.0;6.45;0.0;0.0;0.0;6.45
2022-11-04;0.0;3.9;0.0;0.33;0.0;4.2299999999999995
2022-11-05;0.0;0.78;1.85;0.32;0.0;2.9499999999999997
2022-11-06;0.0;2.05;0.0;0.0;0.0;2.05
2022-11-07;0.0;5.53;0.0;1.83;0.0;7.36
2022-11-08;0.0;6.82;0.0;0.35;2.6;9.77
2022-11-09;0.0;3.65;0.0;0.48;0.97;5.1
2022-11-10;0.0;1.67;0.0;0.5;0.0;2.17
2022-11-11;0.0;6.67;0.0;0.0;0.0;6.67
2022-11-12;0.0;0.52;0.0;0.63;0.0;1.15
2022-11-13;0.0;2.2;0.0;3.13;1.42;6.75
2022-11-14;0.0;1.97;0.0;0.0;0.0;1.97
2022-11-15;0.0;3.58;0.0;0.0;6.33;9.91
2022-11-16;0.0;8.63;0.0;0.0;2.4;11.030000000000001
2022-11-17;0.0;0.87;0.0;0.0;1.42;2.29
2022-11-18;0.0;0.38;0.0;0.0;0.0;0.38
2022-11-19;0.0;4.77;0.0;0.0;0.0;4.77
2022-11-20;0.0;0.68;0.0;0.63;0.0;1.31
2022-11-21;0.0;0.93;0.0;0.22;7.15;8.3
2022-11-22;0.0;2.97;0.0;0.0;0.0;2.97
2022-11-23;0.0;0.65;0.0;2.15;0.0;2.8
2022-11-24;0.0;1.55;0.0;0.42;5.05;7.02
2022-11-25;0.0;2.33;0.0;0.0;1.02;3.35
2022-11-26;0.0;0.6;0.0;0.38;1.47;2.45
2022-11-27;0.0;0.1;0.0;0.0;3.17;3.27
2022-11-28;0.0;1.38;0.0;0.0;1.4;2.78
2022-11-29;0.0;4.83;0.0;0.35;0.0;5.18
2022-11-30;0.0;2.17;0.0;0.0;0.0;2.17
2022-12-01;0.0;2.13;0.0;0.0;2.98;5.109999999999999
2022-12-02;0.0;0.17;0.0;0.0;3.28;3.4499999999999997
2022-12-03;0.0;0.82;0.0;0.0;0.0;0.82
2022-12-04;0.0;0.88;0.0;0.0;2.08;2.96
2022-12-05;0.0;1.67;0.0;0.0;1.68;3.3499999999999996
2022-12-06;0.0;0.87;0.0;0.0;0.0;0.87
2022-12-07;0.0;1.35;0.0;0.0;0.0;1.35
2022-12-08;0.0;1.65;0.72;0.0;0.0;2.37
2022-12-09;0.0;0.12;0.0;0.17;0.0;0.29000000000000004
2022-12-10;0.0;2.25;0.0;0.0;0.0;2.25
2022-12-12;0.0;1.05;0.0;2.35;0.0;3.4000000000000004
2022-12-13;0.52;0.85;0.0;0.0;0.0;1.37
2022-12-14;0.0;0.0;0.0;0.58;0.0;0.58
2022-12-15;0.0;0.18;0.0;0.0;0.42;0.6
2022-12-16;0.0;4.68;0.0;0.0;3.93;8.61
2022-12-17;0.0;0.27;0.0;1.37;0.95;2.59
2022-12-18;0.0;6.63;0.0;0.0;0.0;6.63
2022-12-19;0.0;2.3;0.0;0.45;0.0;2.75
2022-12-20;3.12;0.8;0.0;0.0;0.0;3.92
2022-12-21;0.0;1.93;0.0;0.0;0.0;1.93
2022-12-22;0.0;2.85;0.0;0.52;0.0;3.37
2022-12-23;0.0;0.88;0.0;0.0;0.0;0.88
2022-12-24;0.0;1.1;0.0;0.0;0.0;1.1
2022-12-25;0.0;4.38;0.0;0.0;0.0;4.38
2022-12-26;1.87;1.5;0.0;3.98;0.0;7.35
2022-12-27;1.37;1.88;0.0;0.37;0.0;3.62
2022-12-28;0.0;4.83;0.0;3.57;0.25;8.65
2022-12-29;0.0;3.53;0.0;0.55;0.0;4.08
2022-12-30;1.47;2.58;0.0;0.0;0.0;4.05
2022-12-31;0.0;0.35;0.0;0.0;0.0;0.35
2023-01-01;2.55;0.8;0.0;0.0;0.0;3.3499999999999996
2023-01-02;6.98;1.15;0.0;0.68;7.0;15.81
2023-01-03;1.33;0.0;0.0;0.0;0.0;1.33
2023-01-04;25.78;8.83;0.0;0.62;2.98;38.209999999999994
2023-01-05;3.27;1.87;0.0;1.2;4.63;10.97
2023-01-06;2.22;1.45;0.0;0.0;0.32;3.9899999999999998
2023-01-07;2.13;2.18;0.0;0.0;0.0;4.3100000000000005
2023-01-08;4.23;2.23;0.0;0.58;0.0;7.040000000000001
2023-01-09;0.4;1.43;0.0;1.65;0.05;3.53
2023-01-10;0.0;3.1;0.0;0.0;0.23;3.33
2023-01-11;0.0;0.07;0.0;0.53;0.0;0.6000000000000001
2023-01-12;10.47;1.75;0.0;0.0;0.0;12.22
2023-01-13;1.1;0.0;0.0;0.0;0.0;1.1
2023-01-14;0.0;1.55;0.0;0.0;0.0;1.55
2023-01-15;0.0;0.0;0.0;8.02;0.0;8.02
2023-01-16;0.0;0.53;0.0;0.52;0.0;1.05
2023-01-17;1.2;5.9;0.0;0.58;0.0;7.680000000000001
2023-01-18;2.43;2.15;0.0;8.2;0.0;12.78
2023-01-19;1.85;0.57;0.45;3.97;0.0;6.84
2023-01-20;0.0;0.77;0.58;0.4;4.95;6.7
2023-01-21;0.0;0.42;1.4;0.0;0.95;2.7699999999999996
2023-01-22;0.0;0.0;0.0;0.0;0.0;0.0
2023-01-23;0.0;2.9;9.62;0.0;0.0;12.52
